State,Month,Positive,Negative
AK,Jan,0,0
AK,Feb,0,0
AK,Mar,715,25125
AK,Apr,8273,294894
AK,May,12205,1056679
AK,Jun,20384,2367798
AK,Jul,63806,5055287
AK,Aug,155260,9146451
AK,Sep,195892,10804348
AL,Jan,0,0
AL,Feb,0,0
AL,Mar,5640,36150
AL,Apr,122902,1030397
AL,May,367602,4328674
AL,Jun,799987,8452439
AL,Jul,1918336,15167614
AL,Aug,3353210,22782688
AL,Sep,3766060,24117231
AR,Jan,0,0
AR,Feb,0,0
AR,Mar,3759,26305
AR,Apr,52392,668405
AR,May,149014,2487946
AR,Jun,398698,5976213
AR,Jul,967828,11656682
AR,Aug,1632521,17392351
AR,Sep,1923929,20600650
AS,Jan,0,0
AS,Feb,0,0
AS,Mar,0,3
AS,Apr,0,90
AS,May,0,3454
AS,Jun,0,8352
AS,Jul,0,27992
AS,Aug,0,44766
AS,Sep,0,42018
AZ,Jan,0,0
AZ,Feb,0,0
AZ,Mar,7133,64910
AZ,Apr,128654,1273359
AZ,May,417109,4062774
AZ,Jun,1292258,9639534
AZ,Jul,4103043,18919434
AZ,Aug,5950198,27617174
AZ,Sep,5665509,30015363
CA,Jan,0,0
CA,Feb,0,0
CA,Mar,45262,234096
CA,Apr,807446,7677813
CA,May,2410359,35849088
CA,Jun,4765016,84388722
CA,Jul,11166252,173358760
CA,Aug,18894736,282077851
CA,Sep,20433676,326637209
CO,Jan,0,0
CO,Feb,0,0
CO,Mar,16011,97727
CO,Apr,252684,977061
CO,May,651171,3145249
CO,Jun,880530,6685624
CO,Jul,1199607,11840393
CO,Aug,1626720,17648937
CO,Sep,1674778,19636200
CT,Jan,0,0
CT,Feb,0,0
CT,Mar,14086,75802
CT,Apr,464322,1098414
CT,May,1122984,4072840
CT,Jun,1348657,9542905
CT,Jul,1483675,17932389
CT,Aug,1585462,28427669
CT,Sep,1479298,35308308
DC,Jan,0,0
DC,Feb,0,0
DC,Mar,2889,20584
DC,Apr,70950,293640
DC,May,214962,878864
DC,Jun,291828,1789711
DC,Jul,345436,4004584
DC,Aug,407849,7076650
DC,Sep,395411,8644931
DE,Jan,0,0
DE,Feb,0,0
DE,Mar,1835,6620
DE,Apr,66518,326141
DE,May,229414,1016432
DE,Jun,312601,2224983
DE,Jul,410093,4139079
DE,Aug,503440,6008310
DE,Sep,510509,6567181
FL,Jan,0,0
FL,Feb,0,0
FL,Mar,32635,292184
FL,Apr,661546,6037170
FL,May,1395338,19806395
FL,Jun,2637866,40925751
FL,Jul,9746886,77199955
FL,Aug,17470128,112470532
FL,Sep,17996090,115764566
GA,Jan,0,0
GA,Feb,0,0
GA,Mar,20912,80515
GA,Apr,462304,1711240
GA,May,1153301,9124800
GA,Jun,1822291,17354742
GA,Jul,4114633,32822199
GA,Aug,7260641,54582697
GA,Sep,7975664,62975617
GU,Jan,0,0
GU,Feb,0,0
GU,Mar,516,3023
GU,Apr,3799,27473
GU,May,4896,137538
GU,Jun,6103,273067
GU,Jul,9833,544205
GU,Aug,21207,878075
GU,Sep,52183,1132309
HI,Jan,0,0
HI,Feb,0,0
HI,Mar,1248,47814
HI,Apr,14712,598664
HI,May,19707,1291418
HI,Jun,22414,1846780
HI,Jul,40778,3045243
HI,Aug,152497,4774790
HI,Sep,284463,6571354
IA,Jan,0,0
IA,Feb,0,0
IA,Mar,2747,39395
IA,Apr,83619,590114
IA,May,440007,2606832
IA,Jun,728145,6181861
IA,Jul,1146210,11068350
IA,Aug,1635711,15390662
IA,Sep,1982748,16609687
ID,Jan,0,0
ID,Feb,0,0
ID,Mar,1833,31821
ID,Apr,44225,425569
ID,May,74146,1050370
ID,Jun,113197,1878296
ID,Jul,394380,3825666
ID,Aug,832394,6003395
ID,Sep,962331,6592578
IL,Jan,0,0
IL,Feb,0,0
IL,Mar,32962,189326
IL,Apr,802317,3120699
IL,May,2817378,14874373
IL,Jun,4013814,33123453
IL,Jul,4971587,61406411
IL,Aug,6454943,98377125
IL,Sep,7156504,122090616
IN,Jan,0,0
IN,Feb,0,0
IN,Mar,10053,57233
IN,Apr,289598,1267570
IN,May,838265,4597739
IN,Jun,1210849,9831654
IN,Jul,1702668,17110716
IN,Aug,2488354,25773823
IN,Sep,2866719,30285498
KS,Jan,0,0
KS,Feb,0,0
KS,Mar,2319,31466
KS,Apr,54501,439690
KS,May,236731,1714359
KS,Jun,350353,3770805
KS,Jul,654584,6764953
KS,Aug,1070047,9751157
KS,Sep,1346497,11021566
KY,Jan,0,0
KY,Feb,0,0
KY,Mar,2819,39812
KY,Apr,70517,819330
KY,May,225893,3707665
KY,Jun,384127,8474508
KY,Jul,678576,14025085
KY,Aug,1218223,20727673
KY,Sep,1557280,25463885
LA,Jan,0,0
LA,Feb,0,0
LA,Mar,28451,172972
LA,Apr,625160,2712953
LA,May,1058343,7121423
LA,Jun,1432634,14760239
LA,Jul,2693146,29158727
LA,Aug,4225383,46734032
LA,Sep,4277313,51874113
MA,Jan,0,0
MA,Feb,0,0
MA,Mar,32154,251901
MA,Apr,988066,3475686
MA,May,2582585,11225946
MA,Jun,3164865,18544791
MA,Jul,3498717,27772851
MA,Aug,3822664,41193097
MA,Sep,3390921,50044158
MD,Jan,0,0
MD,Feb,0,0
MD,Mar,8702,53950
MD,Apr,326302,1500033
MD,May,1183128,4955905
MD,Jun,1848484,10938162
MD,Jul,2374558,19550805
MD,Aug,3086997,32072110
MD,Sep,3145464,36448723
ME,Jan,0,0
ME,Feb,0,0
ME,Mar,2120,44976
ME,Apr,22358,351384
ME,May,52158,880176
ME,Jun,84057,2090101
ME,Jul,112034,3970814
ME,Aug,129920,6424361
ME,Sep,132374,9011843
MI,Jan,0,0
MI,Feb,0,0
MI,Mar,169662,147888
MI,Apr,1036680,2547755
MI,May,1766294,11092594
MI,Jun,2001687,23112791
MI,Jul,2478571,41368270
MI,Aug,3160707,68470710
MI,Sep,3351720,82076202
MN,Jan,0,0
MN,Feb,0,0
MN,Mar,8020,149462
MN,Apr,92868,1293714
MN,May,553098,4737287
MN,Jun,942207,12303744
MN,Jul,1387465,23606845
MN,Aug,2018867,28731020
MN,Sep,2311999,31418580
MO,Jan,0,0
MO,Feb,0,0
MO,Mar,6204,53678
MO,Apr,144456,1317616
MO,May,330212,3863710
MO,Jun,502252,8021156
MO,Jul,1005353,15410450
MO,Aug,2084758,23951538
MO,Sep,2813522,27974141
MP,Jan,0,0
MP,Feb,0,0
MP,Mar,8,0
MP,Apr,354,1703
MP,May,589,104852
MP,Jun,861,230737
MP,Jul,1093,324309
MP,Aug,1576,391075
MP,Sep,1679,381344
MS,Jan,0,0
MS,Feb,0,0
MS,Mar,5780,25208
MS,Apr,109721,977730
MS,May,344072,3163203
MS,Jun,612493,6294894
MS,Jul,1278178,10103335
MS,Aug,2235453,13790927
MS,Sep,2440799,14982228
MT,Jan,0,0
MT,Feb,0,0
MT,Mar,1068,30579
MT,Apr,11447,278435
MT,May,14580,808776
MT,Jun,19791,1867610
MT,Jul,70547,3911573
MT,Aug,176785,6237364
MT,Sep,254700,7518914
NC,Jan,0,0
NC,Feb,0,0
NC,Mar,8293,148422
NC,Apr,168564,1976917
NC,May,571848,7289883
NC,Jun,1375755,18240294
NC,Jul,2901556,38238390
NC,Aug,4499595,57258878
NC,Sep,5036495,66061582
ND,Jan,0,0
ND,Feb,0,0
ND,Mar,719,27548
ND,Apr,14809,377916
ND,May,57327,1581664
ND,Jun,93092,2573958
ND,Jul,149379,3866562
ND,Aug,272825,5282714
ND,Sep,432380,5508897
NE,Jan,0,0
NE,Feb,0,0
NE,Mar,1117,17659
NE,Apr,39994,353232
NE,May,295885,1622391
NE,Jun,502929,3697558
NE,Jul,684023,6232664
NE,Aug,931289,8950157
NE,Sep,1041862,9839834
NH,Jan,0,0
NH,Feb,0,0
NH,Mar,1926,36107
NH,Apr,35267,348891
NH,May,106816,1284155
NH,Jun,158779,2757622
NH,Jul,190333,4117838
NH,Aug,215705,5509677
NH,Sep,208248,6073082
NJ,Jan,0,0
NJ,Feb,0,0
NJ,Mar,92499,145370
NJ,Apr,2186635,2306826
NJ,May,4470485,10217130
NJ,Jun,5010185,28681254
NJ,Jul,5468298,48706482
NJ,Aug,5802240,71026507
NJ,Sep,5327621,81046496
NM,Jan,0,0
NM,Feb,0,0
NM,Mar,1743,97720
NM,Apr,46425,985389
NM,May,173707,3773380
NM,Jun,294149,7695873
NM,Jul,495682,13211223
NM,Aug,717107,19832317
NM,Sep,724609,21577313
NV,Jan,0,0
NV,Feb,0,0
NV,Mar,6058,69632
NV,Apr,97218,734617
NV,May,210896,2357671
NV,Jun,365877,6077530
NV,Jul,1011764,10553881
NV,Aug,1875155,14949737
NV,Sep,1995780,15380834
NY,Jan,0,0
NY,Feb,0,0
NY,Mar,457840,1005380
NY,Apr,6228443,10064129
NY,May,10693471,33073006
NY,Jun,11513492,79223084
NY,Jul,12544553,140135533
NY,Aug,13182876,205897243
NY,Sep,12021399,241996511
OH,Jan,0,0
OH,Feb,0,0
OH,Mar,12073,141488
OH,Apr,287156,2045067
OH,May,847464,7089686
OH,Jun,1279993,16050525
OH,Jul,2204116,31937310
OH,Aug,3343527,53504239
OH,Sep,3731702,67588827
OK,Jan,0,0
OK,Feb,0,0
OK,Mar,3068,12401
OK,Apr,67889,838780
OK,May,160501,3691157
OK,Jun,277518,7575990
OK,Jul,738386,13692298
OK,Aug,1492703,21910752
OK,Sep,1919177,25391083
OR,Jan,0,0
OR,Feb,0,0
OR,Mar,4504,86740
OR,Apr,50324,978615
OR,May,108405,2740767
OR,Jun,183829,5241268
OR,Jul,420158,9531640
OR,Aug,713300,14282060
OR,Sep,799865,15801131
PA,Jan,0,0
PA,Feb,0,0
PA,Mar,23433,207027
PA,Apr,801610,3358557
PA,May,1883395,8420233
PA,Jun,2387279,15750048
PA,Jul,3065875,27518621
PA,Aug,3838520,41086435
PA,Sep,3926020,45568322
PR,Jan,0,0
PR,Feb,0,0
PR,Mar,982,5925
PR,Apr,28043,194834
PR,May,81742,571669
PR,Jun,174784,3145352
PR,Jul,353563,7875960
PR,Aug,802706,9485132
PR,Sep,1042390,8261244
RI,Jan,0,0
RI,Feb,0,0
RI,Mar,3250,31510
RI,Apr,130816,737243
RI,May,390081,2387321
RI,Jun,484286,3582509
RI,Jul,550599,4956782
RI,Aug,636391,6717213
RI,Sep,626624,7652463
SC,Jan,0,0
SC,Feb,0,0
SC,Mar,5943,30358
SC,Apr,111739,907789
SC,May,268529,3442910
SC,Jun,636474,7668142
SC,Jul,1978230,14840211
SC,Aug,3278566,22860202
SC,Sep,3575171,25664751
SD,Jan,0,0
SD,Feb,0,0
SD,Mar,702,24426
SD,Apr,36229,277854
SD,May,118992,764846
SD,Jun,177960,1794827
SD,Jul,240095,2712437
SD,Aug,326993,3660777
SD,Sep,462987,4035255
TN,Jan,0,0
TN,Feb,0,0
TN,Mar,12828,145171
TN,Apr,191357,2542823
TN,May,539012,9241487
TN,Jun,960306,17523878
TN,Jul,2257276,33023828
TN,Aug,4105118,53757897
TN,Sep,4706384,62927685
TX,Jan,0,0
TX,Feb,0,0
TX,Mar,17027,219051
TX,Apr,475272,4524463
TX,May,1430663,18234047
TX,Jun,2998487,37850548
TX,Jul,9121399,76217138
TX,Aug,16440613,118722123
TX,Sep,18114800,129166690
UT,Jan,0,0
UT,Feb,0,0
UT,Mar,5509,100016
UT,Apr,82178,1667572
UT,May,221281,4913299
UT,Jun,461201,7767457
UT,Jul,984909,12635462
UT,Aug,1442519,17068378
UT,Sep,1612615,18042155
VA,Jan,0,0
VA,Feb,0,0
VA,Mar,6816,79746
VA,Apr,223887,1234856
VA,May,925411,4993757
VA,Jun,1644315,12760216
VA,Jul,2330822,24614580
VA,Aug,3290350,38718142
VA,Sep,3627430,44724264
VI,Jan,0,0
VI,Feb,0,0
VI,Mar,215,646
VI,Apr,1500,12577
VI,May,2116,37894
VI,Jun,2230,70079
VI,Jul,7476,168754
VI,Aug,23571,365211
VI,Sep,33016,462804
VT,Jan,0,0
VT,Feb,0,0
VT,Mar,2173,31805
VT,Apr,21824,292039
VT,May,29077,697622
VT,Jun,33550,1505421
VT,Jul,41004,2435359
VT,Aug,46881,3422460
VT,Sep,45531,4021601
WA,Jan,0,0
WA,Feb,18,24
WA,Mar,71477,930273
WA,Apr,350526,4270484
WA,May,599278,8758198
WA,Jun,866276,14759630
WA,Jul,1498741,26072904
WA,Aug,2114996,37908654
WA,Sep,2159183,42277985
WI,Jan,0,0
WI,Feb,0,0
WI,Mar,10362,135717
WI,Apr,140734,1244921
WI,May,436436,4439509
WI,Jun,778455,12176946
WI,Jul,1354496,21813331
WI,Aug,2163365,32585463
WI,Sep,2649051,34678632
WV,Jan,0,0
WV,Feb,0,0
WV,Mar,732,18083
WV,Apr,20973,608669
WV,May,46996,2201012
WV,Jun,71504,3972452
WV,Jul,145003,6786053
WV,Aug,262522,10840777
WV,Sep,347444,12851070
WY,Jan,0,0
WY,Feb,0,0
WY,Mar,712,13138
WY,Apr,8701,172432
WY,May,22586,486435
WY,Jun,33684,883306
WY,Jul,63897,1261597
WY,Aug,102359,1840717
WY,Sep,122533,2244025
